model_type,sequence_length,batch_normalization,final_loss,final_mae,epochs_trained,training_time_seconds,model_path
conv_lstm,20,OFF,0.4146370589733124,0.4873048961162567,15,113.50383424758911,./model_weights/conv_lstm_2_2_32_18_6_20_False.keras
conv_lstm,20,ON,0.513075053691864,0.5720009803771973,15,129.08453392982483,./model_weights/conv_lstm_2_2_32_18_6_20_True.keras
conv_lstm,10,OFF,0.4302671551704407,0.4944474995136261,15,116.29465198516846,./model_weights/conv_lstm_2_2_60_18_6_10_False.keras
conv_lstm,10,ON,0.48327091336250305,0.5557535290718079,15,133.62592101097107,./model_weights/conv_lstm_2_2_60_18_6_10_True.keras
conv_lstm,20,OFF,0.41100993752479553,0.48277464509010315,15,207.75088787078857,./model_weights/conv_lstm_2_2_60_18_6_20_False.keras
conv_lstm,20,ON,0.5169467926025391,0.5723093748092651,15,223.59684681892395,./model_weights/conv_lstm_2_2_60_18_6_20_True.keras
conv_lstm,10,OFF,0.6099122762680054,0.621094286441803,15,91.96313905715942,./model_weights/conv_lstm_2_3_32_18_6_10_False.keras
conv_lstm,10,ON,0.5074058771133423,0.5705578327178955,15,107.31744003295898,./model_weights/conv_lstm_2_3_32_18_6_10_True.keras
conv_lstm,20,OFF,0.40814393758773804,0.4800321161746979,15,154.06280088424683,./model_weights/conv_lstm_2_3_32_18_6_20_False.keras
conv_lstm,20,ON,0.5130157470703125,0.5717041492462158,15,184.00686120986938,./model_weights/conv_lstm_2_3_32_18_6_20_True.keras
conv_lstm,10,OFF,0.4218047857284546,0.4945353865623474,15,166.6660499572754,./model_weights/conv_lstm_2_3_60_18_6_10_False.keras
conv_lstm,10,ON,0.5180259943008423,0.5764150023460388,15,188.8282070159912,./model_weights/conv_lstm_2_3_60_18_6_10_True.keras
conv_lstm,20,OFF,0.6099958419799805,0.6211715936660767,15,326.585245847702,./model_weights/conv_lstm_2_3_60_18_6_20_False.keras
conv_lstm,20,ON,0.5153834223747253,0.5743988752365112,15,346.69636392593384,./model_weights/conv_lstm_2_3_60_18_6_20_True.keras
